ticker,year,month,day,filename,BrexitExposure,BrexitRisk,BrexitSentiment,NonBrexitRisk,NonBrexitSentiment
LLY.N,2021,01,29,/Users/min/brexit-uncertainty/src/processed/2021/LLY.N-2021-01-29-138750397504.txt,0.0,0.0,-0.0,7.0,65.0
7203.T,2021,05,12,/Users/min/brexit-uncertainty/src/processed/2021/7203.T-2021-05-12-139643392538.txt,0.0,0.0,-0.0,1.0,75.0
JNJ.N,2021,10,19,/Users/min/brexit-uncertainty/src/processed/2021/JNJ.N-2021-10-19-139718474482.txt,0.0,0.0,-0.0,6.0,62.0
AZN.L,2021,04,30,/Users/min/brexit-uncertainty/src/processed/2021/AZN.L-2021-04-30-138869044310.txt,0.0,0.0,-0.0,11.0,92.0
BARC.L,2021,04,30,/Users/min/brexit-uncertainty/src/processed/2021/BARC.L-2021-04-30-139099865053.txt,0.0,0.0,-0.0,31.0,27.0
BP.L,2021,04,27,/Users/min/brexit-uncertainty/src/processed/2021/BP.L-2021-04-27-137837967306.txt,0.0,0.0,-0.0,27.0,94.0
KHC.OQ,2021,04,29,/Users/min/brexit-uncertainty/src/processed/2021/KHC.OQ-2021-04-29-141037856531.txt,0.0,0.0,-0.0,3.0,42.0
BP.L,2021,08,03,/Users/min/brexit-uncertainty/src/processed/2021/BP.L-2021-08-03-140040846110.txt,0.0,0.0,-0.0,11.0,93.0
DPWGn.DE,2021,11,04,/Users/min/brexit-uncertainty/src/processed/2021/DPWGn.DE-2021-11-04-139068321176.txt,0.0,0.0,-0.0,6.0,121.0
ULVR.L,2021,02,04,/Users/min/brexit-uncertainty/src/processed/2021/ULVR.L-2021-02-04-138912849418.txt,0.0,0.0,-0.0,6.0,157.0
BARC.L,2021,02,18,/Users/min/brexit-uncertainty/src/processed/2021/BARC.L-2021-02-18-140222004923.txt,0.00014098406880022558,0.0,-0.0,18.0,-15.0
7203.T,2021,11,04,/Users/min/brexit-uncertainty/src/processed/2021/7203.T-2021-11-04-141058258834.txt,0.0,0.0,-0.0,8.0,-16.0
KR.N,2021,12,02,/Users/min/brexit-uncertainty/src/processed/2021/KR.N-2021-12-02-140350880243.txt,0.0,0.0,-0.0,3.0,119.0
KHC.OQ,2021,10,27,/Users/min/brexit-uncertainty/src/processed/2021/KHC.OQ-2021-10-27-138314596885.txt,0.0,0.0,-0.0,2.0,72.0
KHC.OQ,2021,08,04,/Users/min/brexit-uncertainty/src/processed/2021/KHC.OQ-2021-08-04-138024335421.txt,0.0,0.0,-0.0,3.0,45.0
KHC.OQ,2021,08,04,/Users/min/brexit-uncertainty/src/processed/2021/KHC.OQ-2021-08-04-138136117523.txt,0.0,0.0,-0.0,1.0,91.0
DPWGn.DE,2021,08,05,/Users/min/brexit-uncertainty/src/processed/2021/DPWGn.DE-2021-08-05-137277344299.txt,0.0,0.0,-0.0,3.0,117.0
AZN.L,2021,02,11,/Users/min/brexit-uncertainty/src/processed/2021/AZN.L-2021-02-11-137220177204.txt,0.0,0.0,-0.0,10.0,111.0
BP.L,2021,11,02,/Users/min/brexit-uncertainty/src/processed/2021/BP.L-2021-11-02-140773655055.txt,0.0,0.0,-0.0,14.0,92.0
JNJ.N,2021,04,20,/Users/min/brexit-uncertainty/src/processed/2021/JNJ.N-2021-04-20-141059202074.txt,0.0,0.0,-0.0,12.0,94.0
F.N,2021,04,28,/Users/min/brexit-uncertainty/src/processed/2021/F.N-2021-04-28-137962162568.txt,0.0,0.0,-0.0,3.0,100.0
LLY.N,2020,04,23,/Users/min/brexit-uncertainty/src/processed/2020/LLY.N-2020-04-23-139108627193.txt,0.0,0.0,-0.0,18.0,-10.0
F.N,2020,02,04,/Users/min/brexit-uncertainty/src/processed/2020/F.N-2020-02-04-138998574025.txt,0.0,0.0,-0.0,2.0,63.0
KHC.OQ,2020,07,30,/Users/min/brexit-uncertainty/src/processed/2020/KHC.OQ-2020-07-30-140972277211.txt,0.0,0.0,-0.0,4.0,106.0
KOG.OL,2020,02,12,/Users/min/brexit-uncertainty/src/processed/2020/KOG.OL-2020-02-12-138772461294.txt,0.0,0.0,-0.0,4.0,70.0
AZN.L,2020,02,14,/Users/min/brexit-uncertainty/src/processed/2020/AZN.L-2020-02-14-139870628566.txt,0.0,0.0,-0.0,10.0,158.0
